"sim.id","time","ka","ke","v1","v2","q","cl","k12","k21","vm","km","k10","C1","ke0","Ceff","centr","AUC","Drug"
"1",2,2,2,4.68567005819965,1,2,1.12061529383757,0.5,0.25,2,2,0.239157960317021,1.32281262383088,0.5,1.32281262383088,6.19826350409289,3.39254382553357,"Drug1"
"2",2,2,2,2.18582853105181,1,2,1.26233299756515,0.5,0.25,2,2,0.577507786924954,1.44134194064917,0.5,1.44134194064917,3.15052633687253,5.42604342621089,"Drug1"
"3",2,2,2,2.71307314041006,1,2,0.866507499354701,0.5,0.25,2,2,0.319382285146848,1.94592712040116,0.5,1.94592712040116,5.27944260355588,5.44779750891893,"Drug1"
"4",2,2,2,2.18484234172539,1,2,1.52800437089418,0.5,0.25,2,2,0.699365964176388,1.13010382656625,0.5,1.13010382656625,2.46909869082784,4.92858623484507,"Drug1"
"5",2,2,2,6.13127748306438,1,2,0.85062243445958,0.5,0.25,2,2,0.138734943379931,1.23579202342299,0.5,1.23579202342299,7.57698380696394,2.84852138255142,"Drug1"
"6",2,2,2,2.38092442007344,1,2,1.01456159970943,0.5,0.25,2,2,0.426120876057937,1.79114399916594,0.5,1.79114399916594,4.26457848748218,5.65310328536035,"Drug1"
"7",2,2,2,3.20130651778777,1,2,0.772700353412781,0.5,0.25,2,2,0.241370312127046,1.92761879488904,0.5,1.92761879488904,6.1708986118885,4.95548031161049,"Drug1"
"8",2,2,2,2.09199437308012,1,2,0.741706058916531,0.5,0.25,2,2,0.354544958849239,2.352261772006,0.5,2.352261772006,4.92091839104803,6.84783621205871,"Drug1"
"9",2,2,2,1.72290961816071,1,2,0.992072154912459,0.5,0.25,2,2,0.57581207072925,1.83482014246859,0.5,1.83482014246859,3.16122927105413,6.89342070038175,"Drug1"
"10",2,2,2,2.3132592743658,1,2,1.75163181707291,0.5,0.25,2,2,0.757213787699235,0.950753989776649,0.5,0.950753989776649,2.19934048449112,4.4533671057336,"Drug1"
"11",2,2,2,1.58607020980102,1,2,0.75507220650845,0.5,0.25,2,2,0.476064805859493,2.43317282859077,0.5,2.43317282859077,3.85918293872511,8.13275473304839,"Drug1"
"12",2,2,2,3.27416501351121,1,2,1.11039306363625,0.5,0.25,2,2,0.339137782932163,1.54998716551928,0.5,1.54998716551928,5.07491374873463,4.43544399956624,"Drug1"
"13",2,2,2,2.43370209262581,1,2,1.11891725121464,0.5,0.25,2,2,0.459759333159546,1.63828971254885,0.5,1.63828971254885,3.98710910175747,5.37384770117295,"Drug1"
"14",2,2,2,3.09728558390542,1,2,1.22057960846527,0.5,0.25,2,2,0.394080421517419,1.46799590967443,0.5,1.46799590967443,4.54680256826673,4.46771140031578,"Drug1"
"15",2,2,2,2.77511132662387,1,2,0.988824165410831,0.5,0.25,2,2,0.356318737891431,1.76695328555859,0.5,1.76695328555859,4.9034920763689,5.15410939771443,"Drug1"
